,even-shaman,even-paladin,odd-paladin,secret-hunter,spell-hunter,deathrattle-hunter,odd-rogue,odd-quest-warrior,odd-warrior,recruit-hunter,otk-dk-paladin,midrange-hunter,cube-warlock,secret-odd-mage,odd-mage,clone-priest,even-warlock,control-priest,odd-hunter,deathrattle-rogue,big-spell-mage,zoo-warlock,rush-warrior,pirate-rogue,tempo-mage,aggro-overload-shaman,tempo-rogue,control-warlock,kingsbane-rogue,combo-priest,malygos-rogue,quest-priest,turvy-otk-priest,quest-mage
control-priest,57.0,52.5,62.8,45.7,46.0,45.4,44.9,25.0,26.0,41.8,40.3,48.3,54.3,42.1,42.3,46.6,54.2,50.0,47.0,52.4,50.0,57.3,49.2,47.8,48.2,51.0,48.0,61.9,27.9,52.0,36.7,50.6,51.3,46.6
odd-hunter,25.8,32.5,29.4,39.1,46.2,67.4,38.6,13.0,13.1,58.3,37.1,37.8,83.4,40.8,60.5,64.3,68.7,53.0,50.0,76.9,64.2,39.6,29.2,58.5,41.6,47.9,54.5,72.5,65.3,51.5,91.9,67.8,76.0,89.6
deathrattle-rogue,41.9,46.0,19.9,28.0,34.9,51.1,33.9,63.7,56.6,52.6,56.8,41.9,55.8,51.1,61.9,50.3,53.8,47.6,23.1,50.0,65.4,38.0,60.3,52.9,60.6,41.9,49.9,66.9,35.9,63.3,48.3,56.7,57.9,68.1
big-spell-mage,52.7,54.7,51.3,58.1,43.4,27.5,51.6,45.7,59.3,29.1,31.6,49.0,35.9,29.2,52.6,41.4,53.5,50.0,35.8,34.6,50.0,61.6,59.6,51.9,35.0,55.8,52.4,62.5,40.9,60.2,36.8,46.0,33.5,26.3
zoo-warlock,36.9,37.5,48.9,40.4,42.6,56.6,40.1,39.2,35.8,56.8,41.7,46.9,50.4,55.7,36.5,58.8,41.1,42.7,60.4,62.0,38.4,50.0,50.0,59.7,57.3,54.3,62.1,44.1,67.4,54.0,78.5,67.1,73.6,77.8
rush-warrior,43.8,49.4,58.5,38.6,32.5,39.0,56.0,42.7,23.4,39.1,49.7,56.6,36.9,63.9,34.8,46.9,36.6,50.8,70.7,39.7,40.4,50.0,50.0,59.9,70.0,68.2,58.1,51.5,46.8,59.4,65.3,53.1,62.1,72.2
pirate-rogue,39.3,49.5,30.9,23.4,29.1,47.3,31.9,39.0,35.8,45.9,60.7,39.8,50.0,38.0,37.8,62.8,48.7,52.2,41.5,47.1,48.1,40.3,40.1,50.0,43.8,36.7,50.7,56.5,53.8,64.1,66.8,69.2,72.4,81.3
tempo-mage,23.6,45.0,32.5,32.4,31.0,37.5,33.8,31.3,24.1,41.0,55.9,40.3,62.0,25.3,43.2,70.9,52.9,51.8,58.3,39.4,65.0,42.7,30.0,56.3,50.0,39.9,53.7,69.7,63.4,55.2,86.9,69.5,81.4,92.3
aggro-overload-shaman,35.5,34.0,28.8,33.0,40.6,49.4,41.5,28.3,23.3,51.7,41.0,45.3,56.7,47.9,40.4,64.6,45.4,49.0,52.1,58.1,44.2,45.6,31.8,63.3,60.1,50.0,60.4,52.4,59.9,58.2,81.7,65.5,73.4,89.4
tempo-rogue,33.9,46.6,35.2,24.8,29.6,45.8,31.9,36.2,33.4,47.1,53.8,39.9,54.2,39.3,39.7,62.1,52.4,52.0,45.4,50.1,47.6,37.9,41.9,49.3,46.3,39.6,50.0,60.2,51.4,57.1,66.8,67.2,71.1,79.3
control-warlock,40.2,40.2,57.4,48.1,40.8,25.7,40.3,39.1,51.0,27.4,70.7,36.6,32.9,28.3,44.2,30.0,24.0,38.1,27.1,32.9,37.5,55.9,48.5,43.5,30.2,47.6,39.8,50.0,39.4,41.0,48.4,52.6,69.8,57.5
kingsbane-rogue,36.7,40.8,30.0,38.7,49.4,53.0,39.5,49.4,83.0,49.3,46.7,42.9,56.7,35.2,47.5,70.7,50.7,72.1,34.7,64.1,59.1,32.6,53.2,46.2,36.6,40.1,48.6,60.6,50.0,61.5,59.6,65.1,54.8,60.2
combo-priest,38.3,36.5,48.9,31.2,26.1,41.3,31.9,39.0,30.5,46.5,52.2,37.0,52.3,43.9,43.3,54.2,37.9,48.0,48.5,36.7,39.8,46.0,40.6,35.8,44.8,41.8,42.9,59.0,38.5,50.0,48.4,66.7,74.5,70.3
malygos-rogue,20.6,32.8,20.3,23.8,32.1,50.6,15.0,51.8,54.9,47.9,64.4,22.0,62.0,9.5,46.1,71.1,45.5,63.3,8.1,51.7,63.2,21.5,34.7,33.2,13.1,18.3,33.2,51.6,40.4,51.6,50.0,72.7,80.9,71.6
quest-priest,30.0,35.1,34.5,40.6,46.2,40.1,27.5,55.7,62.9,36.7,25.7,25.6,42.6,29.7,47.7,26.0,43.2,49.2,32.2,43.3,53.9,32.9,46.9,30.8,30.5,34.5,32.8,47.4,34.9,33.1,27.3,50.0,31.8,21.9
turvy-otk-priest,30.3,27.5,36.9,28.6,35.3,50.0,19.7,60.6,67.4,45.4,62.0,21.7,40.7,20.8,57.3,43.2,45.0,48.7,24.0,42.1,66.5,26.4,37.9,27.6,18.6,26.6,28.9,30.2,45.2,25.5,19.1,68.2,50.0,33.7
quest-mage,20.1,21.0,19.5,23.8,31.6,28.9,14.9,69.3,86.3,31.7,68.8,13.5,38.0,6.1,48.1,46.2,32.9,53.4,10.4,31.9,73.7,22.2,27.7,18.7,7.6,10.6,20.7,42.5,39.8,29.7,28.4,78.1,66.3,50.0
